transaction_id,order_id,product_id,product_quantity,customer_id,order_status,order_date,name_customer,surname,email,name_product,price_cents
31776,3177,19,5,353,open,2023-05-09,Joshua,Lloyd,emoore@example.org,Shaving Cream,800
18352,1835,19,1,491,open,2023-03-15,John,King,baldwinstacey@example.org,Shaving Cream,800
198610,1986,19,5,219,open,2023-03-23,Lauren,Mahoney,martin44@example.com,Shaving Cream,800
17435,1743,19,5,260,open,2023-03-12,Amber,Gomez,amanda45@example.org,Shaving Cream,800
404011,4040,19,1,260,open,2023-06-16,Amber,Gomez,amanda45@example.org,Shaving Cream,800
404013,4040,19,5,260,open,2023-06-16,Amber,Gomez,amanda45@example.org,Shaving Cream,800
41500,4150,19,2,260,delivered,2023-06-20,Amber,Gomez,amanda45@example.org,Shaving Cream,800
41509,4150,19,4,260,delivered,2023-06-20,Amber,Gomez,amanda45@example.org,Shaving Cream,800
25402,2540,19,1,197,paid,2023-04-16,Ashley,Thomas,yrichards@example.org,Shaving Cream,800
39546,3954,19,1,197,paid,2023-06-11,Ashley,Thomas,yrichards@example.org,Shaving Cream,800
14472,1447,19,2,289,open,2023-02-28,Marcus,Martin,zhopkins@example.net,Shaving Cream,800
29557,2955,19,3,289,open,2023-05-01,Marcus,Martin,zhopkins@example.net,Shaving Cream,800
30537,3053,19,2,319,delivered,2023-05-05,Suzanne,Fritz,tonyarobinson@example.com,Shaving Cream,800
31230,3123,19,5,140,paid,2023-05-08,Darren,Nicholson,andrea73@example.net,Shaving Cream,800
40272,4027,19,3,140,delivered,2023-06-15,Darren,Nicholson,andrea73@example.net,Shaving Cream,800
402715,4027,19,2,140,delivered,2023-06-15,Darren,Nicholson,andrea73@example.net,Shaving Cream,800
32132,3213,19,1,910,delivered,2023-05-10,Eric,Richards,tamibrown@example.net,Shaving Cream,800
171018,1710,19,4,551,delivered,2023-03-12,Ann,Gordon,gonzalezrichard@example.com,Shaving Cream,800
302212,3022,19,2,38,delivered,2023-05-04,Michael,Salazar,pattonkristin@example.com,Shaving Cream,800
35920,3592,19,3,998,paid,2023-05-28,Brian,Ruiz,reyeskimberly@example.org,Shaving Cream,800
14188,1418,19,1,369,paid,2023-02-26,Teresa,Mckenzie,ccervantes@example.com,Shaving Cream,800
200410,2004,19,4,499,delivered,2023-03-24,Gary,Anderson,melinda89@example.com,Shaving Cream,800
28972,2897,19,2,499,open,2023-04-28,Gary,Anderson,melinda89@example.com,Shaving Cream,800
18889,1888,19,5,515,paid,2023-03-18,James,Edwards,tguerra@example.net,Shaving Cream,800
14307,1430,19,5,835,delivered,2023-02-27,Erica,Reynolds,christopherbray@example.org,Shaving Cream,800
17872,1787,19,4,835,delivered,2023-03-14,Erica,Reynolds,christopherbray@example.org,Shaving Cream,800
14639,1463,19,3,522,delivered,2023-02-28,Rebecca,Martinez,vchan@example.com,Shaving Cream,800
14704,1470,19,1,990,paid,2023-02-28,Shaun,Johnson,abryant@example.org,Shaving Cream,800
35073,3507,19,1,990,delivered,2023-05-25,Shaun,Johnson,abryant@example.org,Shaving Cream,800
35074,3507,19,2,990,delivered,2023-05-25,Shaun,Johnson,abryant@example.org,Shaving Cream,800
35077,3507,19,3,990,delivered,2023-05-25,Shaun,Johnson,abryant@example.org,Shaving Cream,800
350710,3507,19,1,990,delivered,2023-05-25,Shaun,Johnson,abryant@example.org,Shaving Cream,800
147511,1475,19,2,841,open,2023-02-28,Ronald,Shaw,jesusmcdonald@example.org,Shaving Cream,800
19374,1937,19,4,841,open,2023-03-21,Ronald,Shaw,jesusmcdonald@example.org,Shaving Cream,800
14767,1476,19,4,968,open,2023-02-28,Shane,Ryan,donaldsosa@example.net,Shaving Cream,800
31507,3150,19,5,968,delivered,2023-05-08,Shane,Ryan,donaldsosa@example.net,Shaving Cream,800
41708,4170,19,2,566,open,2023-06-20,William,Davenport,lydialawson@example.net,Shaving Cream,800
40932,4093,19,3,236,open,2023-06-18,Donna,Meyer,angelagardner@example.org,Shaving Cream,800
17748,1774,19,5,132,delivered,2023-03-13,Christopher,Carter,amandabrown@example.com,Shaving Cream,800
39265,3926,19,5,132,open,2023-06-11,Christopher,Carter,amandabrown@example.com,Shaving Cream,800
26140,2614,19,2,697,delivered,2023-04-18,Laurie,Rodriguez,hsmith@example.net,Shaving Cream,800
15220,1522,19,1,889,open,2023-03-02,Johnny,Armstrong,sbishop@example.net,Shaving Cream,800
30146,3014,19,2,889,paid,2023-05-03,Johnny,Armstrong,sbishop@example.net,Shaving Cream,800
21953,2195,19,3,129,paid,2023-04-03,Phyllis,Harrison,christopher03@example.org,Shaving Cream,800
369712,3697,19,3,129,delivered,2023-05-31,Phyllis,Harrison,christopher03@example.org,Shaving Cream,800
369714,3697,19,4,129,delivered,2023-05-31,Phyllis,Harrison,christopher03@example.org,Shaving Cream,800
43166,4316,19,5,129,paid,2023-06-28,Phyllis,Harrison,christopher03@example.org,Shaving Cream,800
