transaction_id,order_id,product_id,product_quantity,customer_id,order_status,order_date,name_customer,surname,email,name_product,price_cents
13935,1393,39,4,761,open,2023-02-25,Alexander,Fuentes,chelsea29@example.com,Paper Plates,1000
263212,2632,39,2,761,delivered,2023-04-20,Alexander,Fuentes,chelsea29@example.com,Paper Plates,1000
2290,229,39,4,957,open,2023-01-10,Stacy,Cook,travisthompson@example.net,Paper Plates,1000
16684,1668,39,4,957,delivered,2023-03-11,Stacy,Cook,travisthompson@example.net,Paper Plates,1000
16685,1668,39,3,957,delivered,2023-03-11,Stacy,Cook,travisthompson@example.net,Paper Plates,1000
244210,2442,39,2,957,open,2023-04-11,Stacy,Cook,travisthompson@example.net,Paper Plates,1000
24680,2468,39,5,957,delivered,2023-04-11,Stacy,Cook,travisthompson@example.net,Paper Plates,1000
24681,2468,39,3,957,delivered,2023-04-11,Stacy,Cook,travisthompson@example.net,Paper Plates,1000
6302,630,39,3,176,delivered,2023-01-26,Sara,Hess,richard11@example.com,Paper Plates,1000
33207,3320,39,4,701,delivered,2023-05-16,Jean,Phillips,richardcase@example.org,Paper Plates,1000
10682,1068,39,3,331,open,2023-02-13,Laura,Rice,jaclyncrawford@example.org,Paper Plates,1000
10688,1068,39,5,331,open,2023-02-13,Laura,Rice,jaclyncrawford@example.org,Paper Plates,1000
31889,3188,39,4,434,paid,2023-05-10,Sarah,King,christopherrodriguez@example.com,Paper Plates,1000
25228,2522,39,1,502,paid,2023-04-15,Johnny,Jacobson,fwolfe@example.net,Paper Plates,1000
28462,2846,39,5,502,paid,2023-04-27,Johnny,Jacobson,fwolfe@example.net,Paper Plates,1000
37421,3742,39,2,502,paid,2023-06-04,Johnny,Jacobson,fwolfe@example.net,Paper Plates,1000
23641,2364,39,1,709,paid,2023-04-07,Terri,Huang,michael73@example.com,Paper Plates,1000
23645,2364,39,1,709,paid,2023-04-07,Terri,Huang,michael73@example.com,Paper Plates,1000
39939,3993,39,4,698,delivered,2023-06-14,Vanessa,Williams,toddsmith@example.com,Paper Plates,1000
8606,860,39,1,53,open,2023-02-06,Sean,Moreno,zcarter@example.net,Paper Plates,1000
8608,860,39,2,53,open,2023-02-06,Sean,Moreno,zcarter@example.net,Paper Plates,1000
