transaction_id,order_id,product_id,product_quantity,customer_id,order_status,order_date,name_customer,surname,email,name_product,price_cents
3546,354,3,1,996,open,2023-01-16,Clarence,Richardson,chernandez@example.com,All-Purpose Cleaner,1000
9795,979,3,5,409,open,2023-02-10,Craig,Harrison,tiffany37@example.net,All-Purpose Cleaner,1000
29241,2924,3,2,141,delivered,2023-04-30,Robert,Gray,davidowen@example.org,All-Purpose Cleaner,1000
7870,787,3,3,410,delivered,2023-02-04,Derek,Donaldson,opotts@example.org,All-Purpose Cleaner,1000
17861,1786,3,1,50,open,2023-03-14,Adam,Andrews,michaelcook@example.net,All-Purpose Cleaner,1000
222814,2228,3,3,50,delivered,2023-04-03,Adam,Andrews,michaelcook@example.net,All-Purpose Cleaner,1000
31272,3127,3,2,50,delivered,2023-05-08,Adam,Andrews,michaelcook@example.net,All-Purpose Cleaner,1000
3640,364,3,4,98,paid,2023-01-16,James,Lopez,princecharles@example.com,All-Purpose Cleaner,1000
36411,364,3,5,98,paid,2023-01-16,James,Lopez,princecharles@example.com,All-Purpose Cleaner,1000
29564,2956,3,1,98,delivered,2023-05-01,James,Lopez,princecharles@example.com,All-Purpose Cleaner,1000
33102,3310,3,1,147,delivered,2023-05-15,Christy,Martinez,tonya52@example.org,All-Purpose Cleaner,1000
25827,2582,3,2,760,delivered,2023-04-18,Ruth,Clark,rebekahhanson@example.org,All-Purpose Cleaner,1000
30988,3098,3,4,36,delivered,2023-05-07,Jacob,Barker,lindseyglass@example.com,All-Purpose Cleaner,1000
3741,374,3,1,706,open,2023-01-18,Gary,Wilcox,yburnett@example.org,All-Purpose Cleaner,1000
37413,374,3,3,706,open,2023-01-18,Gary,Wilcox,yburnett@example.org,All-Purpose Cleaner,1000
37414,374,3,4,706,open,2023-01-18,Gary,Wilcox,yburnett@example.org,All-Purpose Cleaner,1000
7005,700,3,2,706,paid,2023-01-29,Gary,Wilcox,yburnett@example.org,All-Purpose Cleaner,1000
33714,3371,3,4,706,paid,2023-05-18,Gary,Wilcox,yburnett@example.org,All-Purpose Cleaner,1000
21422,2142,3,3,529,delivered,2023-04-01,Robert,Robinson,fieldsjacob@example.org,All-Purpose Cleaner,1000
3762,376,3,5,561,delivered,2023-01-18,Brett,Patterson,anthonyrodriguez@example.org,All-Purpose Cleaner,1000
75312,753,3,3,561,open,2023-02-03,Brett,Patterson,anthonyrodriguez@example.org,All-Purpose Cleaner,1000
75319,753,3,2,561,open,2023-02-03,Brett,Patterson,anthonyrodriguez@example.org,All-Purpose Cleaner,1000
28101,2810,3,5,516,paid,2023-04-26,Brenda,Johnson,jacobgibbs@example.com,All-Purpose Cleaner,1000
39793,3979,3,3,696,open,2023-06-12,Alexandra,Jones,walkererin@example.org,All-Purpose Cleaner,1000
